year,school-1,school-2,score-1,score-2,school-1-result
2017,Needham,Wellesley,86,95,L
2017,Needham,Weymouth,,,W
2017,Newton North,Norwood,,,
2017,Newton North,Walpole,,,
2017,Newton North,Wellesley,,,L
2017,Newton North,Weymouth,,,
2017,Norwood,Walpole,,,
2017,Norwood,Wellesley,,,L
2017,Norwood,Weymouth,,,
2017,Walpole,Wellesley,,,L
2017,Walpole,Weymouth,,,
2017,Wellesley,Weymouth,,,W
2016,Braintree,Brookline,81,103,L
2016,Braintree,Dedham,98,74,W
2016,Braintree,Framingham,81,97,L
2016,Braintree,Natick,81,103,L
2016,Braintree,Needham,81,100,L
2016,Braintree,Newton North,84,100,L
2016,Braintree,Norwood,108,78,W
2016,Braintree,Walpole,109,77,W
2016,Braintree,Wellesley,87,99,L
2016,Braintree,Weymouth,101,55,W
2016,Brookline,Dedham,,,
2016,Brookline,Framingham,,,
2016,Brookline,Natick,,,
2016,Brookline,Needham,99,89,W
2016,Brookline,Newton North,,,
2016,Brookline,Norwood,,,
2016,Brookline,Walpole,,,
2016,Brookline,Wellesley,,,
2016,Brookline,Weymouth,,,
2016,Dedham,Framingham,,,
2016,Dedham,Natick,,,
2016,Dedham,Needham,84,91,L
2016,Dedham,Newton North,,,
2016,Dedham,Norwood,,,
2016,Dedham,Walpole,,,
2016,Dedham,Wellesley,,,
2016,Dedham,Weymouth,,,
2016,Framingham,Natick,,,
2016,Framingham,Needham,98,88,W
2016,Framingham,Newton North,,,
2016,Framingham,Norwood,,,
2016,Framingham,Walpole,,,
2016,Framingham,Wellesley,,,
2016,Framingham,Weymouth,,,
2016,Natick,Needham,92,94,L
2016,Natick,Newton North,,,
2016,Natick,Norwood,,,
2016,Natick,Walpole,,,
2016,Natick,Wellesley,,,
2016,Natick,Weymouth,,,
2016,Needham,Newton North,90,96,L
2016,Needham,Norwood,96,82,W
2016,Needham,Walpole,98,80,W
2016,Needham,Wellesley,95,91,W
2016,Needham,Weymouth,,,W
2016,Newton North,Norwood,,,
2016,Newton North,Walpole,,,
2016,Newton North,Wellesley,,,
2016,Newton North,Weymouth,,,
2016,Norwood,Walpole,,,
2016,Norwood,Wellesley,,,
2016,Norwood,Weymouth,,,
2016,Walpole,Wellesley,,,
2016,Walpole,Weymouth,,,
2016,Wellesley,Weymouth,,,
2015,Braintree,Brookline,,,
2015,Braintree,Dedham,,,
2015,Braintree,Framingham,,,
2015,Braintree,Natick,,,
2015,Braintree,Needham,78,100,L
2015,Braintree,Newton North,,,
2015,Braintree,Norwood,,,
2015,Braintree,Walpole,,,
2015,Braintree,Wellesley,,,
2015,Braintree,Weymouth,,,
2015,Brookline,Dedham,,,
2015,Brookline,Framingham,,,
2015,Brookline,Natick,,,
2015,Brookline,Needham,,,
2015,Brookline,Newton North,,,
2015,Brookline,Norwood,,,
