date	title	url
2011-11-21	Needham High swimmers fourth at Sectionals	https://www.wickedlocal.com/story/needham-times/2011/11/21/needham-high-swimmers-fourth-at/39676674007/
2011-11-07	Newton North swimmers compete at Bay State Conference meet	https://www.wickedlocal.com/story/newton-tab/2011/11/07/newton-north-swimmers-compete-at/37313502007/
2011-11-04	Wellesley swim team wraps up regular season	https://www.wickedlocal.com/story/wellesley-townsman/2011/11/04/wellesley-swim-team-wraps-up/64850220007/
2011-10-26	Braintree swimming: Wamps sink Brookline	https://www.wickedlocal.com/story/braintree-forum/2011/10/26/braintree-swimming-wamps-sink-brookline/39527400007/
2011-10-26	Needham High swimmers pool their efforts toward success	https://www.wickedlocal.com/story/needham-times/2011/10/26/needham-high-swimmers-pool-their/64848881007/
2011-10-20	Needham swimmers honored	https://www.wickedlocal.com/story/needham-times/2011/10/20/needham-swimmers-honored/39603995007/
2011-10-19	Braintree swimming: Shea qualifies for state tournament	https://www.wickedlocal.com/story/braintree-forum/2011/10/19/braintree-swimming-shea-qualifies-for/39506611007/
2011-10-19	Needham High Sports Roundup: Swimmers stay unbeaten	https://www.wickedlocal.com/story/needham-times/2011/10/19/needham-high-sports-roundup-swimmers/39605167007/
2011-10-19	Newton North 96, Dedham 80: Tigers dip Dedham in girls swimming	https://www.wickedlocal.com/story/newton-tab/2011/10/19/newton-north-96-dedham-80/37272601007/
2011-10-18	Newton North girls swimmers a qualifying success	https://www.wickedlocal.com/story/newton-tab/2011/10/18/newton-north-girls-swimmers-qualifying/37250530007/
2011-10-12	Braintree swim: Wamps sink Weymouth	https://www.wickedlocal.com/story/braintree-forum/2011/10/12/braintree-swim-wamps-sink-weymouth/39480899007/
2011-10-05	Choppier waters ahead for unbeaten Walpole swimmers	https://www.wickedlocal.com/story/times-advocate/2011/10/05/choppier-waters-ahead-for-unbeaten/39936951007/
2011-09-28	Braintree swimming: Wamps drop opener	https://www.wickedlocal.com/story/braintree-forum/2011/09/28/braintree-swimming-wamps-drop-opener/39477754007/
2011-09-28	Swimming: Needham High stays undefeated	https://www.wickedlocal.com/story/needham-times/2011/09/28/swimming-needham-high-stays-undefeated/39653520007/
2011-09-28	Wellesley High Sports Roundup: Swimmers off to 1-2 start	https://www.wickedlocal.com/story/wellesley-townsman/2011/09/28/wellesley-high-sports-roundup-swimmers/39909577007/
2011-09-21	Braintree swimming: Everybody in the pool!	https://www.wickedlocal.com/story/braintree-forum/2011/09/21/braintree-swimming-everybody-in-pool/39513597007/
