year,division,place,school,score
2008,South,16,Braintree,25
2008,South,17,Milford,24
2008,South,18,Dedham,15
2008,South,19,Natick,14
2008,South,19,Apponequet,14
2008,South,21,Marshfield,8
2008,South,22,Weymouth,2
2007,North,1,Andover,228
2007,North,2,Acton Boxborough,221
2007,North,3,Chelmsford,161
2007,North,4,Reading,152
2007,North,5,Lexington,105
2007,North,6,Haverhill,96
2007,North,7,Winchester,81
2007,North,8,Methuen,80
2007,North,9,Central Catholic,46
2007,North,10,Belmont,42
2007,North,11,Dracut,41
2007,North,12,Boston Latin School,40
2007,North,13,Lowell,36
2007,North,14,Burlington,21
2007,North,15,Stoneham,19
2007,North,16,Academy of Notre Dame,12
2007,North,17,Notre Dame Academy,10
2007,North,18,Billerica,4
2007,South,1,Notre Dame Academy,255
2007,South,2,Bishop Feehan,201.5
2007,South,3,Bishop Stang,186
2007,South,4,Framingham,119
2007,South,5,Milford,89
2007,South,6,Brookline,84
2007,South,6,Norwood,84
2007,South,8,Fontbonne Academy,82
2007,South,9,Durfee,41
2007,South,9,Natick,41
2007,South,11,Wellesley,37
2007,South,12,Brockton,33
2007,South,13,Dedham,30
2007,South,14,Seekonk,27
2007,South,15,Apponequet,21
2007,South,16,Ursuline Academy,18
2007,South,17,Braintree,17
2007,South,18,Westwood,15
2007,South,19,Needham,6
2007,South,20,Attleboro,3
2007,South,21,Walpole,2
2007,South,22,Weymouth,1
2007,South,22,Marshfield,1
2007,South,24,Newton North,0.5
2006,North,1,Andover,320
2006,North,2,Acton Boxborough,210.5
2006,North,3,Chelmsford,192
2006,North,4,Reading,95
2006,North,5,Methuen,79
2006,North,6,Haverhill,73
2006,North,7,Winchester,70
2006,North,8,Cambridge Rindge and Latin,57
2006,North,9,Belmont,53
2006,North,10,Lexington,44
2006,North,11,Stoneham,42.5
2006,North,12,Burlington,41
2006,North,13,Central Catholic,31
2006,North,14,Lowell,29
2006,North,15,Dracut,26
2006,North,16,Academy of Notre Dame,12
2006,North,17,Boston Latin School,11
2006,North,18,Billerica,7
2006,North,19,Notre Dame Academy,2
2006,South,1,Notre Dame Academy,244
2006,South,2,Bishop Stang,188.5
2006,South,3,Framingham,141
2006,South,4,Bishop Feehan,129
2006,South,5,Dedham,96
2006,South,6,Brookline,77
2006,South,7,Milford,75
2006,South,8,Natick,74
2006,South,9,Durfee,60
2006,South,10,Norwood,56
2006,South,11,Walpole,52
2006,South,12,Ursuline Academy,32
2006,South,13,Seekonk,28
2006,South,14,Apponequet,26
2006,South,15,Brockton,25.5
2006,South,16,Fontbonne Academy,18
2006,South,17,Westwood,17
2006,South,18,Wellesley,16
2006,South,19,Sandwich,11
2006,South,20,Stoughton,10
2006,South,21,Canton,9
2006,South,22,Needham,7
2006,South,23,New Bedford,3
2004,North,1,Andover High School,336
2004,North,2,Acton Boxborough High School,252
2004,North,3,Chelmsford High School,167
2004,North,4,Belmont High School,112
2004,North,5,Central Catholic High Schol,93
2004,North,5,Reading High School,93
2004,North,7,Haverhill High School,77
2004,North,8,Framingham High School,71
2004,North,9,Methuen High School,47
2004,North,10,Burlington High School,42
2004,North,11,Winchester High School,30
2004,North,12,Lowell High School,27
2004,North,13,Notre Dame Academy Worcester,17
2004,North,14,Stoneham High School,12
2004,North,15,Cambridge High School,7
2004,North,16,Dracut High School,6
2004,North,17,St. Peter Mariian,4
2004,North,18,Billerica High School,2
2004,South,1,Bishop Stang High School,195.50
2004,South,2,Notre Dame Academy - Hingham,189
2004,South,3,Bishop Feehan High School,184.50
2004,South,4,Seekonk High School,130
2004,South,5,Brockton High School,123
2004,South,6,Walpole High School,88
2004,South,7,Milford High School,84
2004,South,8,Natick High School,57
2004,South,9,Brookline High School,55
2004,South,10,Marshfield High School,39
2004,South,11,Wellesley High School,35
2004,South,12,Norwood High School,33
2004,South,13,Duxbury High School,32
2004,South,14,Ursuline Academy,28
2004,South,14,New Bedford High School,28
2004,South,16,Dedham High School,27
2004,South,17,Boston Latin,16
2004,South,18,Needham High School,15
2004,South,19,Stoughton High School,11
2004,South,19,Apponequet Reg High School,11
2004,South,21,Quincy North Quincy High Schoo,10
2004,South,22,Durfee High School,9
2004,South,23,Newton North,6
2004,South,23,Canton High School,6
2004,South,25,Sandwich High School,1
2001,South,1,Needham,
