date	title	url
2010-02-24	Needham Roundup: Swimmers shine at States	https://www.wickedlocal.com/story/needham-times/2010/02/24/needham-roundup-swimmers-shine-at/39968410007/
2010-02-03	Sweet sendoff: Rockets top Wellesley in final home swim meet of year	https://www.wickedlocal.com/story/needham-times/2010/02/03/sweet-sendoff-rockets-top-wellesley/40313944007/
2010-01-27	Needham Roundup: Swimmers sink North, Xaverian	https://www.wickedlocal.com/story/needham-times/2010/01/27/needham-roundup-swimmers-sink-north/40387677007/
2010-01-06	Water whirled: Needham falls to Framingham in BSC swim matchup	https://www.wickedlocal.com/story/needham-times/2010/01/06/water-whirled-needham-falls-to/40436191007/
2009-11-12	Needham Roundup: Swimmers take 3rd at conference championships	https://www.wickedlocal.com/story/needham-times/2009/11/12/needham-roundup-swimmers-take-3rd/39923096007/
2009-10-29	Walpole High swimmers tie Needham, in first alone	https://www.wickedlocal.com/story/times-advocate/2009/10/28/walpole-high-swimmers-tie-needham/40743502007/
2009-10-29	Needham roundup: Golfers advance to States; swimmers take BSC Carey title	https://www.wickedlocal.com/story/needham-times/2009/10/29/needham-roundup-golfers-advance-to/40436979007/
2009-09-09	Needham Roundup: Girls swim team making splash	https://www.wickedlocal.com/story/needham-times/2009/09/09/needham-roundup-girls-swim-team/40434333007/
2009-08-10	Needham Summer Swim Team finishes season	https://www.wickedlocal.com/story/needham-times/2009/08/10/needham-summer-swim-team-finishes/40313591007/
2009-03-11	Boys swim team wraps up remarkable season	https://www.wickedlocal.com/story/needham-times/2009/03/11/boys-swim-team-wraps-up/40503897007/
2009-02-25	Needham boys swim to 10th in Division 1 state meet	https://www.wickedlocal.com/story/needham-times/2009/02/25/needham-boys-swim-to-10th/39923600007/
2009-02-18	Swim success at Sectionals	https://www.wickedlocal.com/story/needham-times/2009/02/18/swim-success-at-sectionals/40313001007/
2009-02-11	Needham boys swim to second place at BSC meet	https://www.wickedlocal.com/story/needham-times/2009/02/11/needham-boys-swim-to-second/40435172007/
2009-01-29	Swimmers stay focused, face Needham on Friday	https://www.wickedlocal.com/story/wellesley-townsman/2009/01/29/swimmers-stay-focused-face-needham/40555413007/
2009-01-28	Boys swim team bounces back after loss to Newton North	https://www.wickedlocal.com/story/needham-times/2009/01/28/boys-swim-team-bounces-back/40386455007/
2009-01-21	High-five for Needham swimmers	https://www.wickedlocal.com/story/needham-times/2009/01/21/high-five-for-needham-swimmers/40436901007/
2009-01-14	Swimmers splash Flyers	https://www.wickedlocal.com/story/needham-times/2009/01/14/swimmers-splash-flyers/40386332007/
2009-01-08	Cole turns Needham swim program around	https://www.wickedlocal.com/story/needham-times/2009/01/08/cole-turns-needham-swim-program/40385013007/
2008-12-23	Needham swimmers look to build on last year's success	https://www.wickedlocal.com/story/needham-times/2008/12/23/needham-swimmers-look-to-build/39886227007/
2008-11-19	Needham swimmers 4th at BSC meet	https://www.wickedlocal.com/story/needham-times/2008/11/19/needham-swimmers-4th-at-bsc/40434548007/
2008-11-12	Swimmers edge rival Wellesley	https://www.wickedlocal.com/story/needham-times/2008/11/12/swimmers-edge-rival-wellesley/40436394007/
2008-10-29	Swimmers cruise	https://www.wickedlocal.com/story/needham-times/2008/10/29/swimmers-cruise/39967814007/
2008-10-01	Swimmers cruise past Braintree	https://www.wickedlocal.com/story/needham-times/2008/10/01/swimmers-cruise-past-braintree/40007638007/
2008-09-24	Back-to-back wins for swimmers	https://www.wickedlocal.com/story/needham-times/2008/09/24/back-to-back-wins-for/40505917007/
2008-09-17	Girls swimmers come up just short	https://www.wickedlocal.com/story/needham-times/2008/09/17/girls-swimmers-come-up-just/39969970007/
2008-09-03	Rocket swimmers looking to make splash in BSC	https://www.wickedlocal.com/story/needham-times/2008/09/03/rocket-swimmers-looking-to-make/40310485007/
2008-08-20	Ashenfelter swims at New Englands	https://www.wickedlocal.com/story/needham-times/2008/08/20/ashenfelter-swims-at-new-englands/40539294007/
2008-02-20	Roundup: Zieger to States; swimmers place 12th in Sectionals	https://www.wickedlocal.com/story/needham-times/2008/02/20/roundup-zieger-to-states-swimmers/40312744007/
2008-02-13	Swimmers Bay State Conference's best	https://www.wickedlocal.com/story/needham-times/2008/02/13/swimmers-bay-state-conference-s/39923119007/
2008-02-06	Swimmers throttle Wellesley	https://www.wickedlocal.com/story/needham-times/2008/02/06/swimmers-throttle-wellesley/39971040007/
2008-02-06	Swimmers edged by Needham, look toward BSC meet	https://www.wickedlocal.com/story/wellesley-townsman/2008/02/06/swimmers-edged-by-needham-look/40617397007/
2008-01-09	Swimmers lapping foes; top Brookline to stay undefeated	https://www.wickedlocal.com/story/needham-times/2008/01/09/swimmers-lapping-foes-top-brookline/40506080007/
2007-12-26	Not at a loss: swimmers knock off Reading, tie Boston Latin	https://www.wickedlocal.com/story/needham-times/2007/12/26/not-at-loss-swimmers-knock/40506099007/
2007-11-20	Swimmers close out strong	https://www.wickedlocal.com/story/needham-times/2007/11/20/swimmers-close-out-strong/40387115007/
2007-11-07	Swimmers take 7th at Bay State championships	https://www.wickedlocal.com/story/needham-times/2007/11/07/swimmers-take-7th-at-bay/40537688007/
2007-10-24	Swimmers knock off Norwood	https://www.wickedlocal.com/story/needham-times/2007/10/24/swimmers-knock-off-norwood/40505723007/
2007-10-03	Swim team back to its winning ways	https://www.wickedlocal.com/story/needham-times/2007/10/03/swim-team-back-to-its/39967117007/
2007-09-19	Swim team splits; win opener, but fall to Brookline	https://www.wickedlocal.com/story/needham-times/2007/09/19/swim-team-splits-win-opener/39966463007/
2007-09-12	Swimmers eager to kick off the season	https://www.wickedlocal.com/story/needham-times/2007/09/12/swimmers-eager-to-kick-off/39969479007/
