year,division,place,school,score
2014,Division 2 State,20,Dedham,20
2014,Division 2 State,21,Norwood,7
2014,Division 2 State,22,Mount Alvernia,5
2014,Division 2 State,23,Dracut,4
2014,Division 2 State,24,Academy of Notre Dame Tyn,1
2013,Division 1 State,1,Chelmsford,381.5
2013,Division 1 State,2,Andover,278.5
2013,Division 1 State,3,Framingham,252
2013,Division 1 State,4,Acton-Boxborough,243
2013,Division 1 State,5,Newton North,217
2013,Division 1 State,6,Lexington,204
2013,Division 1 State,7,Needham,167
2013,Division 1 State,8,Haverhill,145
2013,Division 1 State,9,Brockton,85
2013,Division 1 State,10,Methuen,55
2013,Division 1 State,11,Boston Latin,45
2013,Division 1 State,11,Brookline,45
2013,Division 1 State,13,Lowell,37
2013,Division 1 State,14,"Durfee, Fall River",30
2013,Division 1 State,15,Braintree,7
2013,Division 2 State,1,Bishop Feehan,317.5
2013,Division 2 State,2,Belmont,287.5
2013,Division 2 State,3,Natick,159.5
2013,Division 2 State,4,Reading,151
2013,Division 2 State,5,Westwood,144
2013,Division 2 State,6,Wellesley,143
2013,Division 2 State,7,Central Catholic,135
2013,Division 2 State,8,North Andover,119.5
2013,Division 2 State,9,Ursuline Academy,108
2013,Division 2 State,10,Bishop Stang,105
2013,Division 2 State,11,Notre Dame Academy - Worcester,85
2013,Division 2 State,12,Seekonk,70
2013,Division 2 State,13,Notre Dame Academy - Hingham,68
2013,Division 2 State,14,Walpole,67
2013,Division 2 State,15,Wakefield,60
2013,Division 2 State,16,Apponequet,59.5
2013,Division 2 State,17,Winchester,56
2013,Division 2 State,18,Melrose,48.5
2013,Division 2 State,19,Stoneham,35
2013,Division 2 State,20,Woburn,29
2013,Division 2 State,21,Burlington,22
2013,Division 2 State,22,Dedham,20
2013,Division 2 State,23,Norwood,16
2013,Division 2 State,24,Marshfield,15
2013,Division 2 State,25,"Mount Alvernia, Newton",3
2013,Division 2 State,26,Dracut,1
2012,Division 1 State,1,Andover,428
2012,Division 1 State,2,Chelmsford,282.5
2012,Division 1 State,3,Acton-Boxborough,253
2012,Division 1 State,4,Framingham,225.5
2012,Division 1 State,5,Needham,185
2012,Division 1 State,6,Haverhill,174
2012,Division 1 State,7,Lexington,120
2012,Division 1 State,8,Wellesley,104
2012,Division 1 State,9,Methuen,96
2012,Division 1 State,10,Natick,84
2012,Division 1 State,11,Newton North,76.5
2012,Division 1 State,12,Brockton,61
2012,Division 1 State,13,Central Catholic-Lawrence,47
2012,Division 1 State,14,Braintree,39.5
2012,Division 1 State,15,Boston Latin,31
2012,Division 1 State,16,"Durfee, Fall River",30
2012,Division 1 State,17,Marshfield,20
2012,Division 1 State,18,Lowell,19
2012,Division 1 State,19,Billerica Memorial,17
2012,Division 1 State,20,Brookline,16
2012,Division 1 State,21,North Andover,14
2012,Division 1 State,22,Dracut,2
2012,Division 2 State,1,Bishop Feehan,336.5
2012,Division 2 State,2,Reading,313
2012,Division 2 State,3,Belmont,232
2012,Division 2 State,4,Notre Dame Academy - Hingham,208
2012,Division 2 State,5,Bishop Stang,195
2012,Division 2 State,6,Westwood,167.5
2012,Division 2 State,7,Seekonk,115
2012,Division 2 State,8,Wakefield,114
2012,Division 2 State,9,Ursuline Academy,110
2012,Division 2 State,10,Norwood,96
2012,Division 2 State,11,Apponequet Regional,87
2012,Division 2 State,12,Walpole,74
