year	name	display	link
2021	20212023BraintreeResults	2021 &mdash; 2023 Braintree Results	https://arbiterlive.com/Teams/Schedule/5771787
2021	2021BraintreeVsFramingham	2021 Braintree vs. Framingham	https://framinghamsource.com/index.php/2021/09/26/flyers-defeat-braintree-92-88/
2021	2021BraintreeVsNatick	2021 Braintree vs. Natick	https://natickhigh.bigteams.com/main/teamarticle/id/3558081/articleid/54276149
2021	20212023BrooklineResults	2021 &mdash; 2023 Brookline Results	https://arbiterlive.com/Teams/Schedule/5771793
2021	20212023FraminghamResults	2021 &mdash; 2023 Framingham Results	https://arbiterlive.com/Teams/Schedule/5772345
2021	20212023MiltonResults	2021 &mdash; 2023 Milton Results	https://arbiterlive.com/Teams/Schedule/7515258
2021	2021NatickResults	2021 Natick Results	https://natickhigh.bigteams.com/main/teamschedule/id/3558081/seasonid/4658551
2021	20212023NatickResults	2021 &mdash; 2023 Natick Results	https://arbiterlive.com/Teams/Schedule/5772352
2021	NeedhamPastSeasonsResults	Needham Past Seasons Results	https://needhamswive.com/high-school/girls/past-seasons/meet-results/
2021	20212023NewtonNorthResults	2021 &mdash; 2023 Newton North Results	https://arbiterlive.com/Teams/Schedule/5772786
2021	20212023WalpoleResults	2021 &mdash; 2023 Walpole Results	https://arbiterlive.com/Teams/Schedule/5772787
2021	20212023WellesleyResults	2021 &mdash; 2023 Wellesley Results	https://arbiterlive.com/Teams/Schedule/5772790
2021	20162023WellesleyDualMeetStreak	2016 &mdash; 2023 Wellesley Dual Meet Streak	https://www.bostonglobe.com/2023/09/13/sports/massachusetts-high-school-swimming-scores/
2021	20212023WeymouthResults	2021 &mdash; 2023 Weymouth Results	https://arbiterlive.com/Teams/Schedule/5772798
2019	2019BraintreeResults	2019 Braintree Results	https://braintreesports.bigteams.com/main/teamschedule/id/3625620/seasonid/4453660
2019	2019BraintreeVsNewtonNorth	2019 Braintree vs. Newton North	https://newtontigers.bigteams.com/main/teamschedule/id/3658461/seasonid/4442282
2019	2019NatickResults	2019 Natick Results	https://natickhigh.bigteams.com/main/teamschedule/id/3558081/seasonid/4497392
2019	NeedhamPastSeasonsResults	Needham Past Seasons Results	https://needhamswive.com/high-school/girls/past-seasons/meet-results/
2019	20162023WellesleyDualMeetStreak	2016 &mdash; 2023 Wellesley Dual Meet Streak	https://www.bostonglobe.com/2023/09/13/sports/massachusetts-high-school-swimming-scores/
2018	2018BraintreeResults	2018 Braintree Results	https://braintreesports.bigteams.com/main/teamschedule/id/3625620/seasonid/4358638
2018	2018BraintreeVsWalpoleWalpoleVsWeymouth	2018 Braintree vs. Walpole, Walpole vs. Weymouth
2018	NeedhamPastSeasonsResults	Needham Past Seasons Results	https://needhamswive.com/high-school/girls/past-seasons/meet-results/
2018	2018NewtonNorthVsWalpole	2018 Newton North vs. Walpole	https://www.wickedlocal.com/story/newton-tab/2018/09/24/newton-north-girls-swimmers-make/10162081007/
2018	2018NewtonNorthVsWalpole2	2018 Newton North vs. Walpole	https://walpolehigh.bigteams.com/main/teamschedule/id/3567605/seasonid/4342399
2018	20162023WellesleyDualMeetStreak	2016 &mdash; 2023 Wellesley Dual Meet Streak	https://www.bostonglobe.com/2023/09/13/sports/massachusetts-high-school-swimming-scores/
2017	NeedhamPastSeasonsResults	Needham Past Seasons Results	https://needhamswive.com/high-school/girls/past-seasons/meet-results/
2017	2017NewtonNorthResults	2017 Newton North Results	https://newtontigers.bigteams.com/main/teamschedule/id/3658461/seasonid/4240676
2017	2017NorwoodVsWalpole	2017 Norwood vs. Walpole	https://www.wickedlocal.com/story/transcript-bulletin/2017/11/01/norwood-swimmers-making-good-time/64782953007/
2017	2017NorwoodVsWeymouth	2017 Norwood vs. Weymouth	https://www.wickedlocal.com/story/transcript-bulletin/2017/09/13/norwood-high-roundup-swimmers-start/18823821007/
2017	2017WalpoleResults	2017 Walpole Results	https://walpolehigh.bigteams.com/main/teamschedule/id/3567605/seasonid/4238993
2017	2017WellesleyVsNewtonNorth	2017 Wellesley vs. Newton North	https://wellesleyathletics.org/main/teamschedule/id/3671419/seasonid/4261914
2017	20162023WellesleyDualMeetStreak	2016 &mdash; 2023 Wellesley Dual Meet Streak	https://www.bostonglobe.com/2023/09/13/sports/massachusetts-high-school-swimming-scores/
2016	2016BraintreeResults	2016 Braintree Results	https://braintreesports.bigteams.com/main/teamschedule/id/3625620/seasonid/4116216
2016	2016DedhamVsNorwood	2016 Dedham vs. Norwood	https://www.wickedlocal.com/story/transcript-bulletin/2016/10/26/norwood-high-roundup-swim-xc/64900584007/
2016	2016DedhamVsWalpole	2016 Dedham vs. Walpole	https://www.wickedlocal.com/story/times-advocate/2016/10/05/walpole-swimmers-winning-numbers-pool/25256368007/
2016	2016DedhamVsWalpoleDedhamVsWellesley	2016 Dedham vs. Walpole, Dedham vs. Wellesley	https://www.wickedlocal.com/story/transcript-bulletin/2016/10/13/dedham-swim-team-shows-improvement/64811960007/
2016	2016FraminghamVsWellesley	2016 Framingham vs. Wellesley	https://www.wickedlocal.com/story/bulletin-tab/2016/01/20/wellesley-swims-by-rival-flyers/32728495007/
2016	NeedhamPastSeasonsResults	Needham Past Seasons Results	https://needhamswive.com/high-school/girls/past-seasons/meet-results/
2016	2016NewtonNorthResults	2016 Newton North Results	https://newtontigers.bigteams.com/main/teamschedule/id/3658461/seasonid/4099975
2016	2016BrooklineVsNewtonNorth	2016 Brookline vs. Newton North	https://www.wickedlocal.com/story/newton-tab/2016/10/11/progress-report-good-for-newton/25224928007/
2016	2016NewtonNorthVsWalpole	2016 Newton North vs. Walpole	https://walpolehigh.bigteams.com/main/teamschedule/id/3567605/seasonid/4113629
2016	2016NewtonNorthVsWellesley	2016 Newton North vs. Wellesley	https://wellesleyathletics.org/main/teamschedule/id/3671419/seasonid/4112787
2016	2016NorwoodVsWeymouth	2016 Norwood vs. Weymouth	https://www.wickedlocal.com/story/transcript-bulletin/2016/10/05/norwood-high-roundup-swimmers-down/25256662007/
2015	2015BraintreeVsNorwoodFraminghamVsNorwood	2015 Braintree vs. Norwood, Framingham vs. Norwood	https://www.wickedlocal.com/story/transcript-bulletin/2015/10/22/norwood-swimmers-aiming-to-improve/64831628007/
2015	2015BrooklineVsFramingham	2015 Brookline vs. Framingham	https://www.wickedlocal.com/story/brookline-tab/2015/10/27/brookline-girls-swimming-falls-in/33203322007/
2015	2015DedhamVsFramingham	2015 Dedham vs. Framingham	https://www.wickedlocal.com/story/transcript-bulletin/2015/09/16/dedham-high-roundup-numbers-up/33539231007/
2015	2015FraminghamVsNatick	2015 Framingham vs. Natick	https://www.wickedlocal.com/story/bulletin-tab/2015/10/28/springboard-to-success/33195735007/
2015	2015FraminghamVsNewtonNorthFraminghamVsWalpoleFraminghamVsWellesley	2015 Framingham vs. Newton North, Framingham vs. Walpole, Framingham vs. Wellesley	https://patch.com/massachusetts/framingham/foleys-flyers-talented-framingham-high-girls-swim-dive-team-0
2015	2015FraminghamVsWalpole	2015 Framingham vs. Walpole	https://patch.com/massachusetts/framingham/slideshow-framingham-splashes-seventh-win-season-0
2015	2015NatickVsNewtonNorthNorwoodVsWellesley	2015 Natick vs. Newton North, Norwood vs. Wellesley	https://www.wickedlocal.com/story/transcript-bulletin/2015/09/16/dedham-high-roundup-numbers-up/33539231007/
2015	NeedhamPastSeasonsResults	Needham Past Seasons Results	https://needhamswive.com/high-school/girls/past-seasons/meet-results/
2015	2015NewtonNorthVsWalpole	2015 Newton North vs. Walpole	https://www.wickedlocal.com/story/newton-tab/2015/10/08/newton-north-94-walpole-86/33311999007/
2014	2014FraminghamVsWellesley	2014 Framingham vs. Wellesley	https://www.wickedlocal.com/story/wellesley-townsman/2014/09/25/raider-roundup-girls-swim-team/36314599007/
2014	NeedhamPastSeasonsResults	Needham Past Seasons Results	https://needhamswive.com/high-school/girls/past-seasons/meet-results/
2014	2014NewtonNorthUndefeated	2014 Newton North Undefeated	https://www.wickedlocal.com/story/newton-tab/2015/09/29/newton-north-girls-swimmers-amp/33426339007/
2014	2014NewtonNorthVsWellesley	2014 Newton North vs. Wellesley	https://www.wickedlocal.com/story/newton-tab/2014/09/16/newton-north-girls-swim-team/36399738007/
2013	NeedhamPastSeasonsResults	Needham Past Seasons Results	https://needhamswive.com/high-school/girls/past-seasons/meet-results/
2012	NeedhamPastSeasonsResults	Needham Past Seasons Results	https://needhamswive.com/high-school/girls/past-seasons/meet-results/
2011	NeedhamPastSeasonsResults	Needham Past Seasons Results	https://needhamswive.com/high-school/girls/past-seasons/meet-results/
2010	2010FraminghamVsNatick	2010 Framingham vs. Natick	https://www.wickedlocal.com/story/bulletin-tab/2010/10/30/schools-framingham-swimming-tops-natick/39654499007/
2010	NeedhamPastSeasonsResults	Needham Past Seasons Results	https://needhamswive.com/high-school/girls/past-seasons/meet-results/
2009	2009BrooklineVsWellesley	2009 Brookline vs. Wellesley	https://www.wickedlocal.com/story/bulletin-tab/2009/09/30/schools-framingham-swimmers-fall/38910516007/
2009	NeedhamPastSeasonsResults	Needham Past Seasons Results	https://needhamswive.com/high-school/girls/past-seasons/meet-results/
2008	20032009FraminghamDualMeetStreak	2003 &mdash; 2009 Framingham Dual Meet Streak	https://www.wickedlocal.com/story/bulletin-tab/2009/09/30/schools-framingham-swimmers-fall/38910516007/
2008	NeedhamPastSeasonsResults	Needham Past Seasons Results	https://needhamswive.com/high-school/girls/past-seasons/meet-results/
2007	20032009FraminghamDualMeetStreak	2003 &mdash; 2009 Framingham Dual Meet Streak	https://www.wickedlocal.com/story/bulletin-tab/2009/09/30/schools-framingham-swimmers-fall/38910516007/
2007	NeedhamPastSeasonsResults	Needham Past Seasons Results	https://needhamswive.com/high-school/girls/past-seasons/meet-results/
2006	20032009FraminghamDualMeetStreak	2003 &mdash; 2009 Framingham Dual Meet Streak	https://www.wickedlocal.com/story/bulletin-tab/2009/09/30/schools-framingham-swimmers-fall/38910516007/
2005	20032009FraminghamDualMeetStreak	2003 &mdash; 2009 Framingham Dual Meet Streak	https://www.wickedlocal.com/story/bulletin-tab/2009/09/30/schools-framingham-swimmers-fall/38910516007/
2004	20032009FraminghamDualMeetStreak	2003 &mdash; 2009 Framingham Dual Meet Streak	https://www.wickedlocal.com/story/bulletin-tab/2009/09/30/schools-framingham-swimmers-fall/38910516007/
2003	19962003NeedhamDualMeetStreak	1996 &mdash; 2003 Needham Dual Meet Streak (Rachel Waldstien)
2002	19962003NeedhamDualMeetStreak	1996 &mdash; 2003 Needham Dual Meet Streak (Rachel Waldstien)
2001	19962003NeedhamDualMeetStreak	1996 &mdash; 2003 Needham Dual Meet Streak (Rachel Waldstien)
2000	19962003NeedhamDualMeetStreak	1996 &mdash; 2003 Needham Dual Meet Streak (Rachel Waldstien)
1999	19962003NeedhamDualMeetStreak	1996 &mdash; 2003 Needham Dual Meet Streak (Rachel Waldstien)
1998	19962003NeedhamDualMeetStreak	1996 &mdash; 2003 Needham Dual Meet Streak (Rachel Waldstien)
1997	19962003NeedhamDualMeetStreak	1996 &mdash; 2003 Needham Dual Meet Streak (Rachel Waldstien)
1996	19962003NeedhamDualMeetStreak	1996 &mdash; 2003 Needham Dual Meet Streak (Rachel Waldstien)
