Athlete	Meet	Event	Time	Place	Points	Splits
Elizabeth Ivanova	Milton	100 back	76.68			37.59/39.28
Aarna Bhatt	Milton	100 back	80.06			38.19/41.72
Emmeline Fritz	Milton	100 back	76.54
Audrey O'Brien	Milton	100 breast	96.13			43.35/52.57
Aida Huffenus	Milton	100 breast	90.58			41.66/48.69
Bryden Tobin	Milton	100 breast	93.37			43.70/50.44
Emmeline Fritz	Milton	50 free	30.30
MadhuSri Saranathan	Milton	50 free	38.87
Esther Kraft	Milton	50 free	39.58
Emma Cheung	Braintree	50 back split	32.16	1	2
Maya Porter	Braintree	50 breast split	37.32	1	2
Madeleine Rowe	Braintree	50 fly split	30.40	1	2
Sophia Belenkiy	Braintree	50 free split	29.23	1	2
Emmeline Fritz	Braintree	50 back split	33.42	2	1
Samantha Zeylikman	Braintree	50 breast split	UNK	2	1
Lara Bobocea	Braintree	50 fly split	UNK	2	1
Tessa Jones	Braintree	50 free split	28.29	2	1
Aarna Bhatt	Braintree	50 back split	36.27	3
Eliana Skolnick	Braintree	50 breast split	37.06	3
Elizabeth Ivanova	Braintree	50 fly split	32.09	3
Carrie Zhang	Braintree	50 free split	32.29	3
Audrey Shi	Braintree	50 back split	34.26
Aida Huffenus	Braintree	50 breast split	41.90
Emma Manning	Braintree	50 fly split	32.75
Grace Flanagan	Braintree	50 free split	30.60
Chloe Afzali	Braintree	200 free	147.05	4	2	32.97/37.26/38.94/38.28
Genevieve Smith	Braintree	200 free	144.10	2	4	31.66/37.50/37.48/35.25
Natalie Guarrera	Braintree	200 free	136.94	1	6	     /66.79/     /70.03
Madeline Weirup	Braintree	200 free	156.59			39.92/39.54/40.69/36.78
Emma Cheung	Braintree	200 medley	148.98	1	6	30.46/39.10/43.94/35.15
Madeleine Rowe	Braintree	200 medley	150.82	2	4	31.75/41.57/42.40/39.43
Carrie Zhang	Braintree	200 medley	163.04	3	3	39.56/42.07/46.97/39.42
Maya Porter	Braintree	200 medley	162.82			36.07/43.17/44.97/38.19
Samantha Zeylikman	Braintree	200 medley	163.39			35.30/46.14/45.50/36.36
Audrey Shi	Braintree	200 medley	161.98			34.44/40.11/49.96/37.21
Eliana Skolnick	Braintree	200 medley	166.95			35.52/42.00/51.22/37.97
Aida Huffenus	Braintree	200 medley	190.27			40.89/51.65/52.68/44.57
Elizabeth Ivanova	Braintree	200 medley	169.33			34.91/39.81/52.50/41.88
Aarna Bhatt	Braintree	200 medley	169.21			35.22/41.97/53.18/38.50
Sophia Belenkiy	Braintree	50 free	28.82	2	4
Lara Bobocea	Braintree	50 free	31.11	5	1
Paige Ingrando	Braintree	50 free	29.34	3	3
Emma Manning	Braintree	50 free	28.05
Grace Flanagan	Braintree	50 free	29.46
Esther Kraft	Braintree	50 free	38.77
MadhuSri Saranathan	Braintree	50 free	39.03
Bryden Tobin	Braintree	50 free	32.55
Audrey O'Brien	Braintree	50 free	32.28
Madeleine Rowe	Braintree	100 fly	68.38	1	6	32.02/36.25
Aarna Bhatt	Braintree	100 fly	79.48	3	3	35.39/43.96
Lara Bobocea	Braintree	100 fly	83.29	4	2	36.84/46.25
Genevieve Smith	Braintree	100 fly	72.42
Natalie Guarrera	Braintree	100 free	62.12			29.68/32.57
Tessa Jones	Braintree	100 free	62.84			29.67/32.75
Emmeline Fritz	Braintree	100 free	66.32			30.03/35.08
Emma Cheung	Braintree	500 free	346.91	1	6	65.97/70.89/71.29/71.35/67.72
Paige Ingrando	Braintree	500 free	373.50	2	4	69.70/75.44/75.59/76.37/75.87
Maya Porter	Braintree	500 free
Samantha Zeylikman	Braintree	500 free	405.87			77.42/83.15/84.00/83.19/77.97
Audrey Shi	Braintree	500 free	423.91			75.10/85.52/87.33/88.40/86.69
Madeleine Rowe	Braintree	50 free split	29.12	1	2
Chloe Afzali	Braintree	50 free split	30.61	1	2
Sophia Belenkiy	Braintree	50 free split	29.50	1	2
Natalie Guarrera	Braintree	50 free split	30.89	1	2
Carrie Zhang	Braintree	50 free split	UNK	2	1
Genevieve Smith	Braintree	50 free split	UNK	2	1
Emma Manning	Braintree	50 free split	28.97	2	1
Paige Ingrando	Braintree	50 free split	27.59	2	1
Bryden Tobin	Braintree	50 free split	32.39	3	0.5
Madeline Weirup	Braintree	50 free split	34.17	3	0.5
Grace Flanagan	Braintree	50 free split	30.29	3	0.5
Lara Bobocea	Braintree	50 free split	32.09	3	0.5
Aida Huffenus	Braintree	50 free split	35.21
Esther Kraft	Braintree	50 free split	38.06
MadhuSri Saranathan	Braintree	50 free split	38.28
Audrey O'Brien	Braintree	50 free split	31.34
Elizabeth Ivanova	Braintree	100 back	76.53	4	2	36.39/38.57
Tessa Jones	Braintree	100 back	75.26	2	4	36.93/38.25
Emmeline Fritz	Braintree	100 back	76.44	3	3	37.92/38.25
Eliana Skolnick	Braintree	100 breast	82.07	4	2	38.47/43.94
Chloe Afzali	Braintree	100 breast	80.99	2	4	38.20/42.65
Carrie Zhang	Braintree	100 breast	82.07	3	3	39.11/43.00
Madeline Weirup	Braintree	100 breast	92.55
Aida Huffenus	Braintree	100 breast	92.46			43.79/48.85
MadhuSri Saranathan	Braintree	100 breast	UNK
Esther Kraft	Braintree	100 breast	112.85
Audrey O'Brien	Braintree	100 breast	93.09
Sophia Belenkiy	Braintree	100 breast	83.68
Natalie Guarrera	Braintree	100 free split	60.88	1	2
Paige Ingrando	Braintree	100 free split	62.36	1	2
Chloe Afzali	Braintree	100 free split	69.78	1	2
Emma Cheung	Braintree	100 free split	59.46	1	2
Maya Porter	Braintree	100 free split	68.60	2	1
Eliana Skolnick	Braintree	100 free split	66.92	2	1
Tessa Jones	Braintree	100 free split	UNK	2	1
Genevieve Smith	Braintree	100 free split	UNK	2	1
Audrey Shi	Braintree	100 free split	68.95	3	0.5
Aarna Bhatt	Braintree	100 free split	67.72	3	0.5
Emmeline Fritz	Braintree	100 free split	69.15	3	0.5
Madeline Weirup	Braintree	100 free split	79.35	3	0.5
Elizabeth Ivanova	Braintree	100 free split	74.16
Samantha Zeylikman	Braintree	100 free split	65.71
Audrey O'Brien	Braintree	100 free split	80.69
MadhuSri Saranathan	Braintree	100 free split	82.15
Chloe Afzali	Acton-Boxborough	50 back split	30.98	2	1
Paige Ingrando	Acton-Boxborough	50 breast split	36.07	2	1
Madeleine Rowe	Acton-Boxborough	50 fly split	30.67	2	1
Sophia Belenkiy	Acton-Boxborough	50 free split	28.75	2	1
Emmeline Fritz	Acton-Boxborough	50 back split	34.93	3	0.5
Samantha Zeylikman	Acton-Boxborough	50 breast split	35.13	3	0.5
Audrey Shi	Acton-Boxborough	50 fly split	31.64	3	0.5
Tessa Jones	Acton-Boxborough	50 free split	32.15	3	0.5
Lara Bobocea	Acton-Boxborough	50 back split	37.56	5
Carrie Zhang	Acton-Boxborough	50 breast split	37.50	5
Elizabeth Ivanova	Acton-Boxborough	50 fly split	37.50	5
Aarna Bhatt	Acton-Boxborough	50 free split	37.50	5
Emma Cheung	Acton-Boxborough	200 free	127.85	2	4	29.06/32.04/33.62/32.95
Maya Porter	Acton-Boxborough	200 free	138.95	3	3	32.97/35.94/35.18/34.77
Carrie Zhang	Acton-Boxborough	200 free	142.21	4	2	XX.XX/35.51/37.63/XX.XX
Paige Ingrando	Acton-Boxborough	200 medley	152.22	2	4	33.66/38.87/43.62/36.57
Chloe Afzali	Acton-Boxborough	200 medley	157.89	3	3	36.16/37.59/45.76/38.30
Audrey Shi	Acton-Boxborough	200 medley	159.94	4	2	34.25/40.09/48.91/36.56
Emma Manning	Acton-Boxborough	50 free	28.64	2	4
Sophia Belenkiy	Acton-Boxborough	50 free	28.38	3	3
Tessa Jones	Acton-Boxborough	50 free	28.73	4	2
Madeleine Rowe	Acton-Boxborough	100 fly	67.98	1	6	31.85/35.97
Genevieve Smith	Acton-Boxborough	100 fly	72.65	5	1	32.35/40.12
Sophia Belenkiy	Acton-Boxborough	100 fly	75.35	6		35.19/40.16
Emma Cheung	Acton-Boxborough	100 free	58.61	2	4	28.03/30.39
Tessa Jones	Acton-Boxborough	100 free	63.30	3	3	30.45/37.61
Grace Flanagan	Acton-Boxborough	100 free	65.03	4	2	31.41/32.00
Madeleine Rowe	Acton-Boxborough	500 free	359.39	1	6	67/69/73.64/72.50/72.22
Paige Ingrando	Acton-Boxborough	500 free	377.00	3	3	72.20/72.02/70.89/76.36/73.82
Madeline Weirup	Acton-Boxborough	500 free	402.10	4	2	75.25/81.87/81.44/81.60/XX.XX
Tessa Jones	Acton-Boxborough	50 free split	29.11	3	0.5
Sophia Belenkiy	Acton-Boxborough	50 free split	29.29	3	0.5
Emma Manning	Acton-Boxborough	50 free split	29.25	3	0.5
Emma Cheung	Acton-Boxborough	50 free split	27.09	2	1
Maya Porter	Acton-Boxborough	50 free split	30.37	3	0.5
Grace Flanagan	Acton-Boxborough	50 free split	30.64	2	1
Genevieve Smith	Acton-Boxborough	50 free split	29.52	2	1
Samantha Zeylikman	Acton-Boxborough	50 free split	29.24	2	1
Audrey Shi	Acton-Boxborough	50 free split	30.10	5
Audrey O'Brien	Acton-Boxborough	50 free split	31.78	5
Sabine Richmond	Acton-Boxborough	50 free split	32.44	5
Aarna Bhatt	Acton-Boxborough	50 free split	29.93	5
Chloe Afzali	Acton-Boxborough	100 back	66.02	1	6	32.48/33.40
Genevieve Smith	Acton-Boxborough	100 back	75.23	3	3	36.95/37.94
Maya Porter	Acton-Boxborough	100 back	77.52	5	1
Carrie Zhang	Acton-Boxborough	100 breast	80.37	3	3	38.72/41.68
Samantha Zeylikman	Acton-Boxborough	100 breast	79.31	4	2	37.43/41.47
Eliana Skolnick	Acton-Boxborough	100 breast	82.34	5	1	38.38/43.74
Madeleine Rowe	Acton-Boxborough	100 free split	63.19	2	1
Paige Ingrando	Acton-Boxborough	100 free split	62.64	2	1
Emma Manning	Acton-Boxborough	100 free split	62.89	2	1
Emma Cheung	Acton-Boxborough	100 free split	59.90	3	0.5
Genevieve Smith	Acton-Boxborough	100 free split	67.85	3	0.5
Maya Porter	Acton-Boxborough	100 free split	65.91	2	1
Grace Flanagan	Acton-Boxborough	100 free split	66.77	3	0.5
Carrie Zhang	Acton-Boxborough	100 free split	65.70	3	0.5
Elizabeth Ivanova	Acton-Boxborough	100 free split	67.22	5
Aida Huffenus	Acton-Boxborough	100 free split	80.88	5
Eliana Skolnick	Acton-Boxborough	100 free split	65.81	5
Lara Bobocea	Acton-Boxborough	100 free split	70.28	5
Audrey O'Brien	Acton-Boxborough	50 back split	38.91
Eliana Skolnick	Acton-Boxborough	50 breast split	37.21
Madeline Weirup	Acton-Boxborough	50 fly split	41.07
Bryden Tobin	Acton-Boxborough	50 free split	31.19
MadhuSri Saranathan	Acton-Boxborough	50 back split	47.55
Aida Huffenus	Acton-Boxborough	50 breast split	39.85
Sabine Richmond	Acton-Boxborough	50 fly split	37.66
Esther Kraft	Acton-Boxborough	50 free split	36.71
Lara Bobocea	Acton-Boxborough	50 free	30.77
Emmeline Fritz	Acton-Boxborough	50 free	29.86
Eliana Skolnick	Acton-Boxborough	50 free	29.84
Madeline Weirup	Acton-Boxborough	50 free	33.97
Sabine Richmond	Acton-Boxborough	50 free	32.29
Esther Kraft	Acton-Boxborough	50 free	37.68
Aida Huffenus	Acton-Boxborough	100 free	76.73			38.25/38.72
Samantha Zeylikman	Acton-Boxborough	100 free	66.13
Elizabeth Ivanova	Acton-Boxborough	100 free	69.23			33.32/35.87
Esther Kraft	Acton-Boxborough	100 free	84.48
MadhuSri Saranathan	Acton-Boxborough	100 free	81.51
Bryden Tobin	Acton-Boxborough	100 free	69.96
Emmeline Fritz	Acton-Boxborough	100 back	75.83			36.69/38.00
Lara Bobocea	Acton-Boxborough	100 back	79.14			38.83/40.70
MadhuSri Saranathan	Acton-Boxborough	100 back	104.41			52.19/50.66
Sabine Richmond	Acton-Boxborough	100 breast	102.16			46.39/55.17
Audrey O'Brien	Acton-Boxborough	100 breast	95.79			43.23/52.30
Aarna Bhatt	Acton-Boxborough	100 breast	94.58			44.25/50.00
Chloe Afzali	Newton North	50 back split	29.64	2	1
Samantha Zeylikman	Newton North	50 breast split	39.75	2	1
Natalie Guarrera	Newton North	50 fly split	28.07	2	1
Emma Cheung	Newton North	50 free split	26.93	2	1
Maya Porter	Newton North	50 back split	34.23	4
Paige Ingrando	Newton North	50 breast split	36.83	4
Madeleine Rowe	Newton North	50 fly split	30.49	4
Sophia Belenkiy	Newton North	50 free split	28.17	4
Lara Bobocea	Newton North	50 back split	34.06	6
Eliana Skolnick	Newton North	50 breast split	37.82	6
Audrey Shi	Newton North	50 fly split	31.66	6
Grace Flanagan	Newton North	50 free split	29.64	6
Emma Cheung	Newton North	200 free	128.55	4	2	27.77/31.59/33.95/35.29
Madeleine Rowe	Newton North	200 free	131.46	5	1	29.94/33.39/34.32/33.81
Maya Porter	Newton North	200 free	137.75	6		31.93/35.84/35.15/34.83
Paige Ingrando	Newton North	200 medley	151.75	4	2	32.50/37.81/44.42/36.59
Chloe Afzali	Newton North	200 medley	152.49	5	1	33.96/36.16/46.30/36.07
Genevieve Smith	Newton North	200 medley	157.05	6		30.75/40.06/XX.XX/37.23
Emma Manning	Newton North	50 free	27.41	4	2
Sophia Belenkiy	Newton North	50 free	27.47	5	1
Tessa Jones	Newton North	50 free	28.26	6
Natalie Guarrera	Newton North	100 fly	63.14	2	4	29.83/33.31
Madeleine Rowe	Newton North	100 fly	66.91	4	2	31.18/35.73
Genevieve Smith	Newton North	100 fly	70.12	6		31.95/38.17
Tessa Jones	Newton North	100 free	62.20	3	3	29.93/32.77
Grace Flanagan	Newton North	100 free	63.70	5	1	30.41/33.29
Carrie Zhang	Newton North	100 free	63.96	6		30.37/33.59
Emma Cheung	Newton North	500 free	347.91	3	3	65.90/70.44/70.14/XX.XX/XX.XX
Maya Porter	Newton North	500 free	376.01	6		72.30/78.13/XX.XX/XX.XX/XX.XX
Paige Ingrando	Newton North	500 free	375.14	5	1	67.33/76.63/76.95/XX.XX/XX.XX
Samantha Zeylikman	Newton North	50 free split	UNK	3	0.5
Grace Flanagan	Newton North	50 free split	27.97	3	0.5
Emma Manning	Newton North	50 free split	28.21	3	0.5
Sophia Belenkiy	Newton North	50 free split	28.43	3	0.5
Tessa Jones	Newton North	50 free split	UNK	5
Genevieve Smith	Newton North	50 free split	27.93	5
Eliana Skolnick	Newton North	50 free split	29.51	5
Carrie Zhang	Newton North	50 free split	29.49	5
Audrey O'Brien	Newton North	50 free split	UNK	6
Lara Bobocea	Newton North	50 free split	31.68	6
Audrey Shi	Newton North	50 free split	30.11	6
Emmeline Fritz	Newton North	50 free split	30.05	6
Chloe Afzali	Newton North	100 back	65.57	3	3	31.52/34.05
Natalie Guarrera	Newton North	100 back	66.06	4	2	32.29/33.77
Emmeline Fritz	Newton North	100 back	74.01	6		36.91/39.98
Samantha Zeylikman	Newton North	100 breast	78.46	3	3	36.82/41.74
Carrie Zhang	Newton North	100 breast	81.78	4	2
Eliana Skolnick	Newton North	100 breast	81.20	5	1
Paige Ingrando	Newton North	100 free split	63.40	2	1
Madeleine Rowe	Newton North	100 free split	62.82	2	1
Natalie Guarrera	Newton North	100 free split	61.18	2	1
Emma Cheung	Newton North	100 free split	58.46	2	1
Genevieve Smith	Newton North	100 free split	64.74	4
Sophia Belenkiy	Newton North	100 free split	63.78	4		30.10/33.68
Emma Manning	Newton North	100 free split	63.63	4		30.09/33.54
Tessa Jones	Newton North	100 free split	63.69	4		30.44/33.25
Aarna Bhatt	Newton North	100 free split	67.76	5
Chloe Afzali	Newton North	100 free split	65.18	5
Carrie Zhang	Newton North	100 free split	64.59	5
Maya Porter	Newton North	100 free split	63.66	5
Emmeline Fritz	Newton North	50 back split	35.21
Audrey O'Brien	Newton North	50 breast split	40.24
Elizabeth Ivanova	Newton North	50 fly split	33.58
Sabine Richmond	Newton North	50 free split	31.57
MadhuSri Saranathan	Newton North	50 back split	46.82
Madeline Weirup	Newton North	50 breast split	42.58
Aida Huffenus	Newton North	50 fly split	38.56
Esther Kraft	Newton North	50 free split	35.30
Elizabeth Ivanova	Newton North	200 free	166.00			33.84/38.50/40.79/52.87
Eliana Skolnick	Newton North	200 free	139.26			31.07/35.18/37.32/35.69
Samantha Zeylikman	Newton North	200 free	141.01			31.98/36.98/37.43/34.62
Aarna Bhatt	Newton North	200 medley	167.03			33.12/42.07/52.15/39.69
Madeline Weirup	Newton North	200 medley	179.91			41.30/46.18/51.08/41.35
Lara Bobocea	Newton North	200 medley	167.52			36.27/40.37/52.83/38.05
Bryden Tobin	Newton North	50 free	32.92
Sabine Richmond	Newton North	50 free	32.60
Esther Kraft	Newton North	50 free	35.88
Elizabeth Ivanova	Newton North	100 fly	75.58			36.25/39.33
Sabine Richmond	Newton North	100 fly	93.91			40.79/53.12
Lara Bobocea	Newton North	100 fly	95.00			37.29/57.71
Audrey O'Brien	Newton North	100 free	70.62			32.77/38.27
Audrey Shi	Newton North	100 free	69.96			34.28/34.28
Emmeline Fritz	Newton North	100 free	64.29			33.83/33.83
Aida Huffenus	Newton North	100 free	73.53			35.17/38.36
MadhuSri Saranathan	Newton North	100 free	84.02			39.32/44.70
Esther Kraft	Newton North	100 free	81.72			39.29/42.43
Aarna Bhatt	Newton North	50 free split	29.25
Sabine Richmond	Newton North	50 free split	33.73
Elizabeth Ivanova	Newton North	50 free split	UNK
Bryden Tobin	Newton North	50 free split	UNK
MadhuSri Saranathan	Newton North	50 free split	37.73
Esther Kraft	Newton North	50 free split	38.44
Madeline Weirup	Newton North	50 free split	UNK
Aida Huffenus	Newton North	50 free split	UNK
Aida Huffenus	Newton North	100 breast	87.75			42.98/44.77
Madeline Weirup	Newton North	100 breast	93.92
MadhuSri Saranathan	Newton North	100 breast	117.84			55.65/62.19
Chloe Afzali	Framingham	50 back split	30.76	2	1
Samantha Zeylikman	Framingham	50 breast split	34.83	2	1
Natalie Guarrera	Framingham	50 fly split	28.97	2	1
Sophia Belenkiy	Framingham	50 free split	27.87	2	1
Maya Porter	Framingham	50 back split	35.76	3	0.5
Carrie Zhang	Framingham	50 breast split	37.52	3	0.5
Madeleine Rowe	Framingham	50 fly split	31.08	3	0.5
Emmeline Fritz	Framingham	50 free split	27.59	3	0.5
Lara Bobocea	Framingham	50 back split	36.26	5
Eliana Skolnick	Framingham	50 breast split	36.58	5
Audrey Shi	Framingham	50 fly split	31.67	5
Madeline Weirup	Framingham	50 free split	33.14	5
Sabine Richmond	Framingham	50 back split	UNK
Bryden Tobin	Framingham	50 breast split	38.23
Aida Huffenus	Framingham	50 fly split	36.85
Elizabeth Ivanova	Framingham	50 free split	28.85
Emma Cheung	Framingham	200 free	128.75	2	4	29.01/31.54/33.42/34.45
Maya Porter	Framingham	200 free	147.42	5	1	34.50/38.82/37.01/37.09
Eliana Skolnick	Framingham	200 free	141.54	4	2	31.30/35.64/37.29/37.31
Natalie Guarrera	Framingham	200 medley	149.67	2	4	30.92/36.02/46.00/36.73
Chloe Afzali	Framingham	200 medley	158.13	3	3	36.01/37.83/45.92/38.37
Carrie Zhang	Framingham	200 medley	160.26	4	2	39.77/41.05/46.06/38.88
Madeleine Rowe	Framingham	50 free	29.24	5	1
Sophia Belenkiy	Framingham	50 free	28.54	2	4
Grace Flanagan	Framingham	50 free	28.59	3	3
Genevieve Smith	Framingham	100 fly	70.83	4	2	31.93/38.90
Elizabeth Ivanova	Framingham	100 fly	75.26	5	1	34.35/40.91
Natalie Guarrera	Framingham	100 fly	63.54	2	4	29.80/33.74
Emma Cheung	Framingham	100 free	58.36	1	6	28.01/30.35
Emma Manning	Framingham	100 free	62.93	5	1	30.07/32.86
Emmeline Fritz	Framingham	100 free	61.77	4	2	29.39/32.38
Madeleine Rowe	Framingham	500 free	350.76	2	4
Maya Porter	Framingham	500 free	388.76	3	3
Madeline Weirup	Framingham	500 free	391.82	4	2	73.39/80.39/80.03/79.90/77.82
Grace Flanagan	Framingham	50 free split	29.33	1	2
Samantha Zeylikman	Framingham	50 free split	29.99	1	2
Emma Manning	Framingham	50 free split	UNK	1	2
Emma Cheung	Framingham	50 free split	26.91	1	2
Aarna Bhatt	Framingham	50 free split	30.15	3	0.5
Genevieve Smith	Framingham	50 free split	30.01	3	0.5
Eliana Skolnick	Framingham	50 free split	28.96	3	0.5
Emmeline Fritz	Framingham	50 free split	28.52	3	0.5
Audrey O'Brien	Framingham	50 free split	31.59	4
Lara Bobocea	Framingham	50 free split	32.76	4
Aida Huffenus	Framingham	50 free split	UNK	4
Madeline Weirup	Framingham	50 free split	UNK	4
Bryden Tobin	Framingham	50 free split	UNK
MadhuSri Saranathan	Framingham	50 free split	UNK
Esther Kraft	Framingham	50 free split	UNK
Elizabeth Ivanova	Framingham	50 free split	UNK
Audrey Shi	Framingham	100 back	71.93	5	1	39.06/37.27
Chloe Afzali	Framingham	100 back	66.10	2	4	32.26/33.04
Genevieve Smith	Framingham	100 back	75.19	6		36.63/38.56
Samantha Zeylikman	Framingham	100 breast	79.16	2	4	38.19/41.02
Eliana Skolnick	Framingham	100 breast	80.59	3	3	38.47/42.12
Carrie Zhang	Framingham	100 breast	81.05	4	2	38.03/41.75
Grace Flanagan	Framingham	100 free split	65.02	2	1
Madeleine Rowe	Framingham	100 free split	62.29	2	1
Natalie Guarrera	Framingham	100 free split	59.53	2	1
Emma Cheung	Framingham	100 free split	59.72	2	1
Maya Porter	Framingham	100 free split	UNK	4
Genevieve Smith	Framingham	100 free split	UNK	5
Sophia Belenkiy	Framingham	100 free split	UNK	4
Emma Manning	Framingham	100 free split	UNK	4
Emmeline Fritz	Framingham	100 free split	UNK	5
Aarna Bhatt	Framingham	100 free split	UNK	5
Chloe Afzali	Framingham	100 free split	UNK	4
Carrie Zhang	Framingham	100 free split	UNK	5
Esther Kraft	Framingham	100 free split	UNK
Audrey O'Brien	Framingham	100 free split	UNK
Sabine Richmond	Framingham	100 free split	UNK
MadhuSri Saranathan	Framingham	100 free split	UNK
Bryden Tobin	Framingham	50 free	31.70
Audrey O'Brien	Framingham	50 free	31.37
Aida Huffenus	Framingham	50 free	33.03
Esther Kraft	Framingham	50 free	37.24
Audrey Shi	Framingham	100 free	66.06			XX.XX/34.75
Sophia Belenkiy	Framingham	100 breast	80.77			38.03/41.75
Aarna Bhatt	Framingham	100 free	65.50			30.45/35.05
Sabine Richmond	Framingham	100 free	75.94			36.81/39.13
Aarna Bhatt	Framingham	100 back	79.68
Audrey O'Brien	Framingham	100 back	83.65
Sabine Richmond	Framingham	100 back	98.81
MadhuSri Saranathan	Framingham	100 back	102.48
Esther Kraft	Framingham	100 back	109.57
Lara Bobocea	Framingham	100 back	UNK
Madeline Weirup	Framingham	100 breast	95.33
Elizabeth Ivanova	Framingham	100 breast	90.11
Lara Bobocea	Framingham	100 breast	87.86
Aida Huffenus	Framingham	100 breast	88.85
MadhuSri Saranathan	Framingham	100 breast	116.79
Chloe Afzali	Brookline	50 back split	30.48	2	1
Paige Ingrando	Brookline	50 breast split	36.91	2	1
Madeleine Rowe	Brookline	50 fly split	31.59	2	1
Emma Manning	Brookline	50 free split	28.03	2	1
Audrey Shi	Brookline	50 back split	33.95	4
Samantha Zeylikman	Brookline	50 breast split	35.65	4
Genevieve Smith	Brookline	50 fly split	31.73	4
Eliana Skolnick	Brookline	50 free split	29.22	4
Madeline Weirup	Brookline	50 back split	41.16	6
Elizabeth Ivanova	Brookline	50 breast split	40.83	6
Lara Bobocea	Brookline	50 fly split	35.17	6
Audrey O'Brien	Brookline	50 free split	31.09	6
Emma Cheung	Brookline	200 free	128.57	3	3	29.15/XX.XX/XX.XX/33.68
