year	division	place	school	score
2015	South Sectional Championships	9	Notre Dame Academy - Hingham	133.5
2015	South Sectional Championships	10	Marshfield	90
2015	South Sectional Championships	11	New Bedford	71
2015	South Sectional Championships	12	Braintree	53
2015	South Sectional Championships	13	Advanced Math & Science	38
2015	South Sectional Championships	14	Durfee	36
2015	South Sectional Championships	15	Brockton	35
2015	South Sectional Championships	16	Walpole	18
2015	South Sectional Championships	17	Mount Alvernia	11
2015	South Sectional Championships	18	Norwood	6
2014	North Sectional Championships	1	Andover 	366
2014	North Sectional Championships	2	Acton-Boxborough	320
2014	North Sectional Championships	3	Belmont	217
2014	North Sectional Championships	4	Lexington	182
2014	North Sectional Championships	5	Chelmsford	160
2014	North Sectional Championships	6	Winchester	145
2014	North Sectional Championships	7	Central Catholic	125
2014	North Sectional Championships	8	Lowell	105
2014	North Sectional Championships	9	Haverhill	99.5
2014	North Sectional Championships	10	North Andover	96
2014	North Sectional Championships	11	Melrose	95
2014	North Sectional Championships	12	Stoneham	80
2014	North Sectional Championships	13	Reading	72
2014	North Sectional Championships	14	Wakefield	68
2014	North Sectional Championships	15	Woburn	50.5
2014	North Sectional Championships	16	Methuen	50
2014	North Sectional Championships	17	Burlington	37
2014	North Sectional Championships	18	Boston Latin School	34
2014	North Sectional Championships	19	Billerica	10
2014	North Sectional Championships	20	Dracut	9
2014	North Sectional Championships	21	Academy of Notre Dame	4
2014	South Sectional Championships	1	Newton North	313
2014	South Sectional Championships	2	Bishop Feehan	295
2014	South Sectional Championships	3	Framingham	269
2014	South Sectional Championships	4	Needham	209
2014	South Sectional Championships	5	Natick	207
2014	South Sectional Championships	6	Westwood	161
2014	South Sectional Championships	7	Ursuline Academy	133
2014	South Sectional Championships	8	Wellesley	131
2014	South Sectional Championships	9	Bishop Stang	121
2014	South Sectional Championships	10	Marshfield	81
2014	South Sectional Championships	11	Walpole	77
2014	South Sectional Championships	12	Brookline	71
2014	South Sectional Championships	13	Brockton	51
2014	South Sectional Championships	13	Durfee	51
2014	South Sectional Championships	15	Notre Dame Academy	48
2014	South Sectional Championships	16	New Bedford	45
2014	South Sectional Championships	17	Deedham	27
2014	South Sectional Championships	18	Braintree	18
2014	South Sectional Championships	19	Norwood	14
2014	South Sectional Championships	20	Mount Alvernia	3
2013	North Sectional Championships	1	Andover	345.5
2013	North Sectional Championships	2	Chelmsford	336
2013	North Sectional Championships	3	Acton-Boxborough	258.5
2013	North Sectional Championships	4	Belmont	252
2013	North Sectional Championships	5	Lexington	178
2013	North Sectional Championships	6	Haverhill	118.5
2013	North Sectional Championships	7	North Andover	117
2013	North Sectional Championships	8	Reading	103
2013	North Sectional Championships	9	Central Catholic	102.5
2013	North Sectional Championships	10	Wakefield	92
2013	North Sectional Championships	11	Notre Dame Academy - Worcester	71
2013	North Sectional Championships	12	Melrose	54
2013	North Sectional Championships	13	Winchester	50
2013	North Sectional Championships	14	Methuen	49
2013	North Sectional Championships	15	Boston Latin School	43
2013	North Sectional Championships	16	Stoneham	35
2013	North Sectional Championships	17	Billerica	34
2013	North Sectional Championships	18	Lowell	33
2013	North Sectional Championships	19	Woburn	26
2013	North Sectional Championships	20	Burlington	21
2013	North Sectional Championships	21	Dracut	4
2013	North Sectional Championships	22	Academy of Notre Dame	2
2013	South Sectional Championships	1	Framingham	363
2013	South Sectional Championships	2	Bishop Feehan	346
2013	South Sectional Championships	3	Newton North	259
2013	South Sectional Championships	4	Needham	257
2013	South Sectional Championships	5	Natick	149
2013	South Sectional Championships	6	Wellesley	144
2013	South Sectional Championships	7	Westwood	120.5
2013	South Sectional Championships	8	Ursuline Academy	93
2013	South Sectional Championships	9	Apponequet	91
2013	South Sectional Championships	10	Seekonk	83
2013	South Sectional Championships	11	Bishop Stang Spartans	73
2013	South Sectional Championships	12	Notre Dame Academy - Hingham	71
2013	South Sectional Championships	13	Walpole	65
2013	South Sectional Championships	14	Brockton	64
2013	South Sectional Championships	15	Dedham	41
2013	South Sectional Championships	16	Durfee	33
2013	South Sectional Championships	17	Brookline	30
2013	South Sectional Championships	18	Marshfield	24
2013	South Sectional Championships	19	Norwood Mustangs	8
2013	South Sectional Championships	20	Mount Alvernia	6
2013	South Sectional Championships	21	Braintree	4.5
2012	North Sectional Championships	1	Andover	466
2012	North Sectional Championships	2	Acton-Boxborough	281
2012	North Sectional Championships	3	Chelmsford	269
2012	North Sectional Championships	4	Reading	234
2012	North Sectional Championships	5	Lexington	167
2012	North Sectional Championships	6	Haverhill	152
2012	North Sectional Championships	7	Belmont	151
2012	North Sectional Championships	8	Methuen	125
2012	North Sectional Championships	9	Wakefield	88
2012	North Sectional Championships	10	Central Catholic	79
2012	North Sectional Championships	11	Boston Latin School	75
2012	North Sectional Championships	12	Notre Dame Academy	56
2012	North Sectional Championships	13	Stoneham	51
2012	North Sectional Championships	14	Winchester	28
2012	North Sectional Championships	15	Billerica	22
2012	North Sectional Championships	16	North Andover	21
2012	North Sectional Championships	17	Melrose	16
2012	North Sectional Championships	18	Lowell	15
2012	North Sectional Championships	19	Woburn	14
2012	North Sectional Championships	20	Academy of Notre Dame	7
2012	North Sectional Championships	21	Dracut	6
2012	North Sectional Championships	22	St Peter-Marion	2
2012	South Sectional Championships	1	Framingham	344
2012	South Sectional Championships	2	Bishop Feehan	337
2012	South Sectional Championships	3	Needham	251.5
2012	South Sectional Championships	4	Natick	147.5
2012	South Sectional Championships	5	Bishop Stang	138
2012	South Sectional Championships	6	Wellesley	121
2012	South Sectional Championships	6	Notre Dame Academy - Hingham	121
2012	South Sectional Championships	8	Westwood	119
2012	South Sectional Championships	9	Seekonk	114
2012	South Sectional Championships	10	Newton North	103
2012	South Sectional Championships	11	Braintree	91
2012	South Sectional Championships	12	Ursuline Academy	78
2012	South Sectional Championships	13	Walpole	68
2012	South Sectional Championships	14	Brockton	62
2012	South Sectional Championships	15	Marshfield	58
2012	South Sectional Championships	16	Norwood	46
2012	South Sectional Championships	17	Mount Alvernia	40
2012	South Sectional Championships	18	Durfee	36
2012	South Sectional Championships	19	Apponequet	25
2012	South Sectional Championships	20	Brookline	24
2012	South Sectional Championships	21	Dedham	1
2011	North Sectional Championships	1	Andover	538
2011	North Sectional Championships	2	Acton-Boxborough	267
2011	North Sectional Championships	3	Reading	262.5
2011	North Sectional Championships	4	Chelmsford	243.5
2011	North Sectional Championships	5	Haverhill	146
2011	North Sectional Championships	6	Lexington	122
2011	North Sectional Championships	7	Dracut	115
2011	North Sectional Championships	8	Central Catholic	103
2011	North Sectional Championships	9	Belmont	99
2011	North Sectional Championships	10	Billerica	97
2011	North Sectional Championships	11	Methuen	77
2011	North Sectional Championships	12	Boston Latin School	42
2011	North Sectional Championships	12	Notre Dame Academy	42
2011	North Sectional Championships	14	Stoneham	41
2011	North Sectional Championships	15	Wakefield	38
2011	North Sectional Championships	16	Winchester	34
2011	North Sectional Championships	17	Melrose	22
2011	North Sectional Championships	18	Lowell	21
2011	North Sectional Championships	19	Burlington	6
2011	North Sectional Championships	20	St Peter-Marion	4
2011	North Sectional Championships	20	Woburn	4
2011	North Sectional Championships	22	Academy of Notre Dame	1
2011	South Sectional Championships	1	Bishop Feehan	281.5
2011	South Sectional Championships	2	Framingham	261
2011	South Sectional Championships	3	Walpole	254
2011	South Sectional Championships	4	Needham	202.5
2011	South Sectional Championships	5	Bishop Stang	164.5
2011	South Sectional Championships	6	Notre Dame Academy - Hingham	140.5
2011	South Sectional Championships	7	Seekonk	114
2011	South Sectional Championships	8	Norwood	100
2011	South Sectional Championships	9	Marshfield	96
2011	South Sectional Championships	9	Westwood	96
2011	South Sectional Championships	11	Natick	83
2011	South Sectional Championships	12	Sandwich	78
2011	South Sectional Championships	13	Braintree	73
2011	South Sectional Championships	14	Newton North	71
2011	South Sectional Championships	15	Durfee	59
2011	South Sectional Championships	16	Apponequet	46
2011	South Sectional Championships	17	Wellesley	43
2011	South Sectional Championships	18	Ursuline Academy	40
2011	South Sectional Championships	19	Brockton	33
2011	South Sectional Championships	20	Mount Alvernia	32
2011	South Sectional Championships	21	Brookline	23
2011	South Sectional Championships	22	New Bedford	19
2011	South Sectional Championships	23	Milford	15
2010	North Sectional Championships	1	Andover	367
2010	North Sectional Championships	2	Reading	219.5
2010	North Sectional Championships	3	Acton-Boxborough	199.5
2010	North Sectional Championships	4	Chelmsford	137
2010	North Sectional Championships	5	Lexington	119
2010	North Sectional Championships	6	Haverhill	97
2010	North Sectional Championships	7	Central Catholic	61
2010	North Sectional Championships	8	Stoneham	54
2010	North Sectional Championships	9	Belmont	32
2010	North Sectional Championships	10	Winchester	22
2010	North Sectional Championships	11	Boston Latin School	21
2010	North Sectional Championships	12	Lowell	15
2010	North Sectional Championships	13	St Peter-Marion	13.5
2010	North Sectional Championships	14	Notre Dame Academy	10
2010	North Sectional Championships	15	Methuen	9
2010	North Sectional Championships	16	Wakefield	8
2010	North Sectional Championships	16	Billerica	8
2010	North Sectional Championships	18	Dracut	2.5
2010	South Sectional Championships	1	Bishop Feehan	263
2010	South Sectional Championships	2	Framingham	182
2010	South Sectional Championships	3	Bishop Stang	129
2010	South Sectional Championships	4	Needham	113
2010	South Sectional Championships	5	Notre Dame Academy - Hingham	111
2010	South Sectional Championships	6	Seekonk	77.5
2010	South Sectional Championships	7	Walpole	77
2010	South Sectional Championships	8	Sandwich	69
2010	South Sectional Championships	9	Ursuline Academy	68
2010	South Sectional Championships	10	Natick	63
2010	South Sectional Championships	11	Westwood	62
2010	South Sectional Championships	12	Wellesley	60.5
2010	South Sectional Championships	13	Norwood	28
2010	South Sectional Championships	14	Brookline	27
2010	South Sectional Championships	15	Newton North	23
2010	South Sectional Championships	16	Mount Alvernia	22
2010	South Sectional Championships	17	Braintree	8
2010	South Sectional Championships	18	Marshfield	6
2010	South Sectional Championships	19	Brockton	4
2010	South Sectional Championships	20	New Bedford	2
2009	North Sectional Championships	1	Andover	374
2009	North Sectional Championships	2	Acton-Boxborough	219
2009	North Sectional Championships	3	Reading	132.5
2009	North Sectional Championships	4	Chelmsford	127
2009	North Sectional Championships	5	Lexington	111
2009	North Sectional Championships	6	Winchester	110.5
2009	North Sectional Championships	7	Haverhill	96
2009	North Sectional Championships	8	Wakefield Memorial	55
2009	North Sectional Championships	9	Lawrence Central Catholic	39
2009	North Sectional Championships	10	Lowell	32
2009	North Sectional Championships	11	Boston Latin	27
2009	North Sectional Championships	12	Belmont	26
2009	North Sectional Championships	13	Dracut	24
2009	North Sectional Championships	14	Stoneham	14
2009	North Sectional Championships	15	Burlington	4
2009	North Sectional Championships	15	Saint Peter-Marian	4
2009	South Sectional Championships	1	Bishop Feehan	251
2009	South Sectional Championships	2	Notre Dame Academy - Hingham	159
2009	South Sectional Championships	3	Bishop Stang	154
2009	South Sectional Championships	4	Framingham	110
2009	South Sectional Championships	6	Seekonk	83
2009	South Sectional Championships	5	Marshfield	88
2009	South Sectional Championships	7	New Bedford	74
2009	South Sectional Championships	8	Norwood	73
2009	South Sectional Championships	9	Fontbonne Academy	48
2009	South Sectional Championships	10	Dedham	45
2009	South Sectional Championships	11	Ursuline Academy	41
2009	South Sectional Championships	11	Natick	41
2009	South Sectional Championships	13	Walpole	40
2009	South Sectional Championships	13	Westwood	40
2009	South Sectional Championships	15	Needham	31
2009	South Sectional Championships	16	Wellesley	28
2009	South Sectional Championships	17	Braintree	25
2009	South Sectional Championships	18	B.M.C. Durfee	22
2009	South Sectional Championships	19	Milford	19
2009	South Sectional Championships	20	Newton North	12
2009	South Sectional Championships	21	Apponequet Regional	9
2009	South Sectional Championships	22	Mount Alvernia	1
2009	South Sectional Championships	22	Sandwich	1
2008	North Sectional Championships	1	Reading	205
2008	North Sectional Championships	2	Acton-Boxborough	199
2008	North Sectional Championships	3	Chelmsford	182
2008	North Sectional Championships	4	Andover	167
2008	North Sectional Championships	5	Winchester	146
2008	North Sectional Championships	6	Lexington	105
2008	North Sectional Championships	7	Haverhill	96
2008	North Sectional Championships	8	Belmont	74
2008	North Sectional Championships	9	Central Catholic	60
2008	North Sectional Championships	10	Methuen	38
2008	North Sectional Championships	11	Dracut	32
2008	North Sectional Championships	12	Lowell	24
2008	North Sectional Championships	13	Burlington	23
2008	North Sectional Championships	14	Notre Dame Academy	20
2008	North Sectional Championships	15	Boston Latin School	16
2008	North Sectional Championships	16	Wakefield	4
2008	North Sectional Championships	17	Stoneham	2
2008	North Sectional Championships	17	Melrose	2
2008	South Sectional Championships	1	Notre Dame Academy - Hingham	239
2008	South Sectional Championships	2	Bishop Feehan	215.5
2008	South Sectional Championships	3	Bishop Stang	162.5
2008	South Sectional Championships	4	Framingham	115.5
2008	South Sectional Championships	5	Brookline	88.5
2008	South Sectional Championships	6	New Bedford	80
